ID_DEPTO,Area,ID_Grupo_Etario,Casos
10028,Antofagasta de la Sierra,3,212
10028,Antofagasta de la Sierra,4,292
10028,Antofagasta de la Sierra,5,733
10028,Antofagasta de la Sierra,6,240
10035,Belén,1,2482
10035,Belén,2,2993
10035,Belén,3,3870
10035,Belén,4,3980
10035,Belén,5,12870
10035,Belén,6,4158
10042,Capayán,1,1697
10042,Capayán,2,1892
10042,Capayán,3,2395
10042,Capayán,4,2810
10042,Capayán,5,8123
10042,Capayán,6,2554
10049,Capital,1,14250
10049,Capital,2,17212
10049,Capital,3,20464
10049,Capital,4,25738
10049,Capital,5,82924
10049,Capital,6,25878
10056,El Alto,1,394
10056,El Alto,2,448
10056,El Alto,3,554
10056,El Alto,4,527
10056,El Alto,5,1766
10056,El Alto,6,686
10063,Fray Mamerto Esquiú,1,1207
10063,Fray Mamerto Esquiú,2,1424
10063,Fray Mamerto Esquiú,3,1624
10063,Fray Mamerto Esquiú,4,1985
10063,Fray Mamerto Esquiú,5,6435
10063,Fray Mamerto Esquiú,6,1949
10070,La Paz,1,2352
10070,La Paz,2,2725
10070,La Paz,3,3265
10070,La Paz,4,3633
10070,La Paz,5,11008
10070,La Paz,6,3358
10077,Paclín,1,317
10077,Paclín,2,429
10077,Paclín,3,533
10077,Paclín,4,619
10077,Paclín,5,1993
10077,Paclín,6,805
10084,Pomán,1,988
10084,Pomán,2,1243
10084,Pomán,3,1558
10084,Pomán,4,1647
10084,Pomán,5,5060
10084,Pomán,6,1723
10091,Santa María,1,2179
10091,Santa María,2,2579
10091,Santa María,3,3038
10091,Santa María,4,3628
10091,Santa María,5,11172
10091,Santa María,6,4226
10098,Santa Rosa,1,1154
10098,Santa Rosa,2,1288
10098,Santa Rosa,3,1549
10098,Santa Rosa,4,1873
10098,Santa Rosa,5,5541
10098,Santa Rosa,6,1912
10105,Tinogasta,1,2024
10105,Tinogasta,2,2400
10105,Tinogasta,3,3068
10105,Tinogasta,4,3444
10105,Tinogasta,5,10368
10105,Tinogasta,6,3950
10112,Valle Viejo,1,2667
10112,Valle Viejo,2,3303
10112,Valle Viejo,3,3905
10112,Valle Viejo,4,4562
10112,Valle Viejo,5,15313
10112,Valle Viejo,6,4201
14007,Calamuchita,1,5902
14007,Calamuchita,2,7284
14007,Calamuchita,3,8294
14007,Calamuchita,4,8263
14007,Calamuchita,5,32161
14007,Calamuchita,6,13558
14014,Capital,1,105777
14014,Capital,2,127379
14014,Capital,3,154598
14014,Capital,4,218036
14014,Capital,5,650278
14014,Capital,6,241992
14021,Colón,1,24253
14021,Colón,2,29932
14021,Colón,3,34500
14021,Colón,4,36300
14021,Colón,5,129181
14021,Colón,6,40345
14028,Cruz del Eje,1,5650
14028,Cruz del Eje,2,6501
14028,Cruz del Eje,3,7447
14028,Cruz del Eje,4,8201
14028,Cruz del Eje,5,26427
14028,Cruz del Eje,6,10522
14035,General Roca,1,2905
